id,id_person,name,surname,zip,city,country,email,birth_date,id_account,account_type,id_transaction,transaction_type,transaction_date,transaction_amount
0,13,Aaya,Añon,10013,Ajman,United Arab Emirates,aaya.añon@bestdomain.com,4/14/63,1202,Business,1997,P1,2020-04-07,4.1497
1,30,Abdalahe,Aart,10030,Maymana,Afghanistan,abdalahe.aart@bestdomain.com,10.07.40,965,Basic,965,P3,2020-02-21,31.907
2,30,Abdalahe,Aart,10030,Maymana,Afghanistan,abdalahe.aart@bestdomain.com,10.07.40,965,Basic,1760,P4,2020-03-09,31.1756
3,48,Abdelaziz,Abaev,10048,Gereshk,Afghanistan,abdelaziz.abaev@bestdomain.com,8/17/85,1189,Business,1984,P1,2020-02-17,25.0801
4,55,Abdelfatah,Abaimov,10055,Bāmyān,Afghanistan,abdelfatah.abaimov@bestdomain.com,10.07.40,946,Basic,946,P3,2020-03-11,18.0259
5,85,Abdeljebbar,Abalov,10085,Berat,Albania,abdeljebbar.abalov@bestdomain.com,11.01.48,1135,Business,1930,P1,2020-04-07,31.6594
6,85,Abdeljebbar,Abalov,10085,Berat,Albania,abdeljebbar.abalov@bestdomain.com,11.01.48,1197,Business,1992,P1,2020-03-19,37.2273
7,92,Abdelkarin,Abankin,10092,Ejmiatsin,Armenia,abdelkarin.abankin@bestdomain.com,03.05.67,1451,Business,2246,P1,2020-02-24,21.1675
8,112,Abdelmayid,Abashin,10112,Luanda,Angola,abdelmayid.abashin@bestdomain.com,2/24/57,630,Business Premium,630,P3,2020-04-30,0.3188
9,114,Abdelmoghit,Abasolo,10114,Cabinda,Angola,abdelmoghit.abasolo@bestdomain.com,8/31/64,1123,Business,1123,P3,2020-01-30,18.0785
10,114,Abdelmoghit,Abasolo,10114,Cabinda,Angola,abdelmoghit.abasolo@bestdomain.com,8/31/64,1123,Business,1918,P1,2020-02-18,13.9895
11,118,Abdelmoula,Abatsiev,10118,Luena,Angola,abdelmoula.abatsiev@bestdomain.com,04.02.69,1033,Basic,1033,P3,2020-02-24,7.8358
12,118,Abdelmoula,Abatsiev,10118,Luena,Angola,abdelmoula.abatsiev@bestdomain.com,04.02.69,1033,Basic,1828,P4,2020-03-11,8.7985
13,138,Abdeltif,Abbel,10138,Santo Tomé,Argentina,abdeltif.abbel@bestdomain.com,4/14/63,1399,Business,1399,P1,2020-05-13,29.1408
14,138,Abdeltif,Abbel,10138,Santo Tomé,Argentina,abdeltif.abbel@bestdomain.com,4/14/63,1399,Business,2194,P1,2020-02-05,39.7128
